expense,category,amount,currency,date
bought personal care items online,Personal Care,8173,PKR,2026-02-09
bought handbag today,Shopping,2216,PKR,2026-05-29
miscellaneous purchase,Other,10376,PKR,2026-01-15
bought cooking oil for family,Food & Groceries,14070,PKR,2026-05-16
filled petrol in car for family,Transportation,1412,PKR,2026-08-06
filled fuel for family,Transportation,1213,PKR,2026-06-22
bought cosmetics,Shopping,29472,PKR,2026-05-26
online shopping for family,Shopping,1602,PKR,2026-06-08
paid internet bill online,Utilities,19625,PKR,2026-05-25
bought skincare products this week,Personal Care,3546,PKR,2026-06-21
general expense today,Other,8803,PKR,2026-04-12
booked ride yesterday,Transportation,5280,PKR,2026-07-12
paid electricity bill yesterday,Utilities,18948,PKR,2026-01-26
paid utility bill today,Utilities,17076,PKR,2026-03-09
paid rickshaw fare,Transportation,14505,PKR,2026-03-04
visited hospital today,Healthcare,29016,PKR,2026-08-02
bought personal care items this week,Personal Care,10221,PKR,2026-07-26
paid maintenance charges,Home & Rent,146385,PKR,2026-03-18
paid house rent today,Home & Rent,70328,PKR,2026-01-30
paid mobile bill for family,Utilities,5593,PKR,2026-03-11
paid school fee online,Education,45442,PKR,2026-02-22
bought cleaning supplies this week,Home & Rent,133489,PKR,2026-05-06
paid university fee,Education,83636,PKR,2026-04-19
paid university fee,Education,44219,PKR,2026-07-17
booked ride today,Transportation,12244,PKR,2026-04-24
bought personal care items yesterday,Personal Care,9389,PKR,2026-01-03
paid electricity bill online,Utilities,5384,PKR,2026-05-20
restaurant lunch for family,Food & Groceries,9152,PKR,2026-02-07
bought movie ticket,Entertainment,5250,PKR,2026-04-04
restaurant lunch today,Food & Groceries,11274,PKR,2026-03-05
paid house rent this week,Home & Rent,147770,PKR,2026-08-15
bought concert ticket online,Entertainment,2732,PKR,2026-03-02
paid bus fare yesterday,Transportation,506,PKR,2026-02-15
general expense yesterday,Other,8231,PKR,2026-03-10
filled fuel yesterday,Transportation,14389,PKR,2026-01-10
paid loan installment today,Bills & Payments,60832,PKR,2026-03-31
paid school fee today,Education,3601,PKR,2026-06-18
bought cosmetics this week,Shopping,9429,PKR,2026-08-10
paid water bill this week,Utilities,17192,PKR,2026-04-13
home repair for family,Home & Rent,87808,PKR,2026-01-08
paid water bill today,Utilities,19524,PKR,2026-03-09
bought fruits for family,Food & Groceries,7219,PKR,2026-03-30
general expense yesterday,Other,19964,PKR,2026-05-11
paid internet bill for family,Utilities,6728,PKR,2026-03-07
ordered food,Food & Groceries,8618,PKR,2026-07-26
bought personal care items online,Personal Care,12356,PKR,2026-07-08
paid apartment rent this week,Home & Rent,114062,PKR,2026-01-18
bought furniture for family,Home & Rent,83291,PKR,2026-06-19
paid mobile bill this week,Utilities,17117,PKR,2026-03-21
bought home appliances this week,Home & Rent,106486,PKR,2026-06-28
bought stationery today,Education,55608,PKR,2026-06-20
played games online,Entertainment,14991,PKR,2026-02-14
booked bus ticket this week,Travel,107450,PKR,2026-05-21
bought flour this week,Food & Groceries,3543,PKR,2026-04-21
booked bus ticket online,Travel,85475,PKR,2026-04-30
paid monthly bill online,Bills & Payments,28510,PKR,2026-05-11
paid online bill today,Bills & Payments,86856,PKR,2026-01-22
paid course fee,Education,98953,PKR,2026-03-02
bought furniture today,Home & Rent,53200,PKR,2026-02-07
grocery shopping today,Food & Groceries,7884,PKR,2026-06-06
paid internet bill yesterday,Utilities,19363,PKR,2026-02-19
other payment yesterday,Other,13195,PKR,2026-03-04
filled petrol in car,Transportation,12853,PKR,2026-04-19
bought shirt online,Shopping,17272,PKR,2026-04-29
bought chicken,Food & Groceries,7578,PKR,2026-02-04
paid online bill for family,Bills & Payments,73759,PKR,2026-06-02
bought prescription medicine yesterday,Healthcare,40450,PKR,2026-07-28
miscellaneous purchase yesterday,Other,18052,PKR,2026-04-25
changed car oil yesterday,Transportation,4346,PKR,2026-07-12
bought handbag for family,Shopping,16179,PKR,2026-06-10
bought handbag yesterday,Shopping,2838,PKR,2026-07-02
paid school fee this week,Education,44520,PKR,2026-03-23
haircut today,Personal Care,2671,PKR,2026-03-01
played games today,Entertainment,11773,PKR,2026-02-24
paid internet bill yesterday,Utilities,11342,PKR,2026-05-19
paid monthly bill,Bills & Payments,27610,PKR,2026-08-02
went to amusement park for family,Entertainment,11595,PKR,2026-01-06
paid travel fare yesterday,Travel,2545,PKR,2026-04-01
bought educational material yesterday,Education,71045,PKR,2026-07-11
miscellaneous purchase for family,Other,7326,PKR,2026-05-05
bought handbag yesterday,Shopping,16213,PKR,2026-01-08
paid streaming subscription online,Entertainment,11327,PKR,2026-07-24
played games today,Entertainment,13970,PKR,2026-04-30
filled petrol in car yesterday,Transportation,9797,PKR,2026-05-25
paid house rent,Home & Rent,113358,PKR,2026-02-04
paid loan installment,Bills & Payments,34599,PKR,2026-04-08
paid doctor fee yesterday,Healthcare,21720,PKR,2026-03-28
paid streaming subscription yesterday,Entertainment,4333,PKR,2026-08-02
paid internet bill,Utilities,18175,PKR,2026-01-14
paid doctor fee online,Healthcare,4796,PKR,2026-07-19
paid house rent,Home & Rent,65823,PKR,2026-02-21
bought milk today,Food & Groceries,2168,PKR,2026-05-02
paid house rent for family,Home & Rent,58138,PKR,2026-04-30
general expense this week,Other,5598,PKR,2026-06-05
paid hotel bill online,Travel,31024,PKR,2026-07-19
booked ride,Transportation,9581,PKR,2026-01-07
bought educational material yesterday,Education,94218,PKR,2026-02-20
paid utility bill online,Utilities,8457,PKR,2026-01-27
general expense online,Other,19774,PKR,2026-07-26
paid utility bill,Utilities,11877,PKR,2026-05-17
played games this week,Entertainment,1329,PKR,2026-05-10
bought furniture,Home & Rent,111115,PKR,2026-07-30
paid credit card bill yesterday,Bills & Payments,47972,PKR,2026-06-12
paid online bill today,Bills & Payments,57580,PKR,2026-02-15
miscellaneous purchase online,Other,8950,PKR,2026-06-07
visited salon yesterday,Personal Care,7336,PKR,2026-07-31
miscellaneous purchase this week,Other,10661,PKR,2026-08-07
bought clothes this week,Shopping,29189,PKR,2026-04-26
bought accessories for family,Shopping,20299,PKR,2026-06-21
paid streaming subscription,Entertainment,8298,PKR,2026-08-06
paid doctor fee yesterday,Healthcare,14201,PKR,2026-04-01
paid course fee this week,Education,78639,PKR,2026-06-29
paid university fee for family,Education,25542,PKR,2026-01-22
bought cosmetics yesterday,Shopping,18492,PKR,2026-07-14
bought accessories online,Shopping,23625,PKR,2026-05-06
paid credit card bill,Bills & Payments,39066,PKR,2026-02-26
played games today,Entertainment,5216,PKR,2026-06-19
bought train ticket yesterday,Travel,146089,PKR,2026-05-16
bought vitamins online,Healthcare,36370,PKR,2026-03-26
dental checkup yesterday,Healthcare,18054,PKR,2026-03-20
paid school fee,Education,95040,PKR,2026-02-19
bought medicine online,Healthcare,35418,PKR,2026-07-15
paid miscellaneous charges today,Other,7190,PKR,2026-07-09
paid bank charges online,Bills & Payments,77778,PKR,2026-07-14
bought perfume this week,Personal Care,1847,PKR,2026-08-02
bought handbag today,Shopping,12125,PKR,2026-02-15
paid university fee online,Education,70510,PKR,2026-02-02
paid university fee,Education,73029,PKR,2026-03-16
paid miscellaneous charges online,Other,16185,PKR,2026-01-27
bought flour yesterday,Food & Groceries,7943,PKR,2026-04-23
paid doctor fee,Healthcare,16846,PKR,2026-08-09
paid credit card bill,Bills & Payments,53021,PKR,2026-05-06
paid utility bill online,Utilities,2256,PKR,2026-02-08
booked ride,Transportation,4166,PKR,2026-01-31
visited salon for family,Personal Care,9966,PKR,2026-07-22
booked flight for family,Travel,100713,PKR,2026-04-26
paid bank charges for family,Bills & Payments,56707,PKR,2026-03-20
booked bus ticket,Travel,27013,PKR,2026-07-15
bought trousers this week,Shopping,21940,PKR,2026-01-21
paid taxi fare today,Transportation,9143,PKR,2026-01-20
filled petrol in car yesterday,Transportation,7481,PKR,2026-06-26
paid travel fare this week,Travel,9556,PKR,2026-03-01
bought notebooks online,Education,60010,PKR,2026-01-19
paid apartment rent this week,Home & Rent,52857,PKR,2026-04-19
paid utility bill today,Utilities,5382,PKR,2026-03-10
filled fuel,Transportation,2818,PKR,2026-07-22
bought notebooks yesterday,Education,16799,PKR,2026-04-30
general expense online,Other,13289,PKR,2026-03-11
bought perfume yesterday,Personal Care,7372,PKR,2026-01-21
booked hotel yesterday,Travel,85494,PKR,2026-06-04
paid university fee,Education,30505,PKR,2026-06-22
booked bus ticket,Travel,71650,PKR,2026-05-28
bought bread yesterday,Food & Groceries,8602,PKR,2026-06-16
paid bank charges today,Bills & Payments,77220,PKR,2026-04-22
home repair yesterday,Home & Rent,24918,PKR,2026-05-01
bought vitamins this week,Healthcare,21340,PKR,2026-06-21
paid gas bill this week,Utilities,13988,PKR,2026-06-27
paid bank charges online,Bills & Payments,52988,PKR,2026-07-28
haircut yesterday,Personal Care,1642,PKR,2026-03-22
paid course fee,Education,53476,PKR,2026-08-10
haircut online,Personal Care,14443,PKR,2026-05-19
paid monthly bill,Bills & Payments,25086,PKR,2026-05-13
paid medical bill yesterday,Healthcare,41286,PKR,2026-04-24
bought eggs this week,Food & Groceries,9098,PKR,2026-02-03
paid exam fee online,Education,64032,PKR,2026-02-01
bought chicken online,Food & Groceries,2694,PKR,2026-03-21
haircut for family,Personal Care,6884,PKR,2026-01-24
bought clothes yesterday,Shopping,4149,PKR,2026-06-15
changed car oil online,Transportation,4881,PKR,2026-05-11
general expense yesterday,Other,15910,PKR,2026-05-01
bought accessories for family,Shopping,5039,PKR,2026-04-09
online shopping for family,Shopping,24754,PKR,2026-08-14
filled fuel this week,Transportation,12759,PKR,2026-07-22
paid streaming subscription for family,Entertainment,4577,PKR,2026-07-30
bought flour online,Food & Groceries,4991,PKR,2026-08-03
booked bus ticket online,Travel,129356,PKR,2026-08-10
changed car oil for family,Transportation,8035,PKR,2026-03-30
paid medical bill for family,Healthcare,25020,PKR,2026-04-27
bought prescription medicine today,Healthcare,46011,PKR,2026-03-03
paid travel fare today,Travel,108682,PKR,2026-01-12
dental checkup yesterday,Healthcare,46517,PKR,2026-07-27
went to amusement park online,Entertainment,13182,PKR,2026-07-30
paid apartment rent yesterday,Home & Rent,10704,PKR,2026-02-02
bought perfume this week,Personal Care,14449,PKR,2026-01-26
paid credit card bill for family,Bills & Payments,60390,PKR,2026-01-04
paid miscellaneous charges yesterday,Other,5158,PKR,2026-01-20
paid bank charges this week,Bills & Payments,82191,PKR,2026-06-27
played games,Entertainment,14155,PKR,2026-03-26
home repair for family,Home & Rent,100617,PKR,2026-03-23
bought cleaning supplies yesterday,Home & Rent,142824,PKR,2026-01-10
booked hotel today,Travel,76334,PKR,2026-02-28
miscellaneous expense yesterday,Other,3325,PKR,2026-07-14
bought cleaning supplies,Home & Rent,117307,PKR,2026-02-12
general expense,Other,1607,PKR,2026-03-25
bought flour this week,Food & Groceries,6241,PKR,2026-04-21
paid taxi fare for family,Transportation,6851,PKR,2026-05-25
home repair today,Home & Rent,45560,PKR,2026-02-14
paid utility bill yesterday,Utilities,8391,PKR,2026-05-08
booked flight today,Travel,121887,PKR,2026-06-13
paid exam fee this week,Education,87904,PKR,2026-01-03
paid bank charges online,Bills & Payments,72143,PKR,2026-02-10
paid internet bill this week,Utilities,19753,PKR,2026-03-18
bought home appliances online,Home & Rent,66561,PKR,2026-04-27
paid school fee yesterday,Education,63835,PKR,2026-01-28
bought cosmetics for family,Shopping,12062,PKR,2026-05-28
bought notebooks,Education,86775,PKR,2026-04-12
paid university fee for family,Education,90389,PKR,2026-07-19
miscellaneous expense for family,Other,16376,PKR,2026-08-02
paid school fee for family,Education,46679,PKR,2026-02-26
paid apartment rent for family,Home & Rent,66700,PKR,2026-06-23
paid miscellaneous charges online,Other,3283,PKR,2026-08-20
bought cleaning supplies,Home & Rent,81984,PKR,2026-07-21
paid credit card bill for family,Bills & Payments,48323,PKR,2026-07-07
filled fuel this week,Transportation,5452,PKR,2026-07-11
bought movie ticket today,Entertainment,2365,PKR,2026-07-21
bought skincare products for family,Personal Care,8421,PKR,2026-03-11
booked ride yesterday,Transportation,13313,PKR,2026-03-17
general expense,Other,15446,PKR,2026-01-20
paid taxi fare online,Transportation,11965,PKR,2026-06-22
paid gaming subscription for family,Entertainment,6192,PKR,2026-01-24
watched a movie this week,Entertainment,8991,PKR,2026-02-01
paid bank charges online,Bills & Payments,98674,PKR,2026-06-22
bought educational material online,Education,49189,PKR,2026-01-28
paid apartment rent yesterday,Home & Rent,7560,PKR,2026-06-08
bought skincare products for family,Personal Care,3826,PKR,2026-06-15
paid mobile bill yesterday,Utilities,10402,PKR,2026-06-16
watched a movie today,Entertainment,942,PKR,2026-01-10
paid exam fee,Education,13239,PKR,2026-03-02
bought shampoo yesterday,Personal Care,7632,PKR,2026-04-05
bought cleaning supplies online,Home & Rent,142608,PKR,2026-04-18
paid hotel bill online,Travel,41507,PKR,2026-08-15
played games,Entertainment,13859,PKR,2026-05-06
paid travel fare this week,Travel,9576,PKR,2026-06-26
paid doctor fee yesterday,Healthcare,29443,PKR,2026-03-02
bought medicine online,Healthcare,24373,PKR,2026-05-20
bought furniture,Home & Rent,105369,PKR,2026-03-12
bought clothes yesterday,Shopping,3303,PKR,2026-06-19
online shopping,Shopping,1957,PKR,2026-07-21
paid doctor fee today,Healthcare,37300,PKR,2026-02-22
paid utility bill today,Utilities,19714,PKR,2026-02-25
bought watch today,Shopping,26142,PKR,2026-08-19
booked hotel this week,Travel,38929,PKR,2026-02-03
bought skincare products today,Personal Care,2001,PKR,2026-06-19
bought milk,Food & Groceries,5969,PKR,2026-07-22
online shopping this week,Shopping,817,PKR,2026-02-14
paid university fee today,Education,97718,PKR,2026-04-18
haircut online,Personal Care,1241,PKR,2026-05-02
paid bank charges for family,Bills & Payments,78312,PKR,2026-01-28
paid service fee today,Bills & Payments,81123,PKR,2026-01-12
miscellaneous purchase this week,Other,15109,PKR,2026-06-14
grocery shopping yesterday,Food & Groceries,13982,PKR,2026-04-13
played games,Entertainment,8232,PKR,2026-07-02
paid credit card bill,Bills & Payments,42719,PKR,2026-06-05
filled fuel today,Transportation,4605,PKR,2026-06-09
paid maintenance charges for family,Home & Rent,86245,PKR,2026-04-08
booked bus ticket this week,Travel,119938,PKR,2026-05-10
paid travel fare,Travel,30992,PKR,2026-08-07
bought cleaning supplies for family,Home & Rent,57367,PKR,2026-04-21
paid loan installment yesterday,Bills & Payments,44924,PKR,2026-07-31
paid monthly bill yesterday,Bills & Payments,96131,PKR,2026-01-25
bought vitamins this week,Healthcare,43888,PKR,2026-03-07
paid doctor fee online,Healthcare,31381,PKR,2026-01-18
paid electricity bill,Utilities,14651,PKR,2026-01-25
general expense today,Other,18331,PKR,2026-01-16
booked bus ticket for family,Travel,87414,PKR,2026-06-21
paid internet bill this week,Utilities,14358,PKR,2026-08-11
miscellaneous expense this week,Other,19774,PKR,2026-03-21
bought medicine for family,Healthcare,33553,PKR,2026-02-24
changed car oil today,Transportation,13981,PKR,2026-01-28
bought prescription medicine for family,Healthcare,24388,PKR,2026-01-30
paid school fee yesterday,Education,74026,PKR,2026-07-16
booked bus ticket online,Travel,146945,PKR,2026-01-07
paid hotel bill online,Travel,71109,PKR,2026-01-08
booked ride online,Transportation,12591,PKR,2026-03-21
visited hospital,Healthcare,12188,PKR,2026-08-11
car maintenance,Transportation,2424,PKR,2026-07-09
paid house rent,Home & Rent,140062,PKR,2026-02-25
went to amusement park yesterday,Entertainment,5785,PKR,2026-02-10
visited hospital online,Healthcare,21558,PKR,2026-07-18
booked bus ticket,Travel,14791,PKR,2026-02-09
filled petrol in car online,Transportation,1436,PKR,2026-03-11
paid online bill yesterday,Bills & Payments,64156,PKR,2026-06-05
paid monthly bill this week,Bills & Payments,28755,PKR,2026-07-13
haircut this week,Personal Care,7243,PKR,2026-01-29
paid exam fee for family,Education,87942,PKR,2026-03-20
bought chicken yesterday,Food & Groceries,9919,PKR,2026-01-15
bought eggs this week,Food & Groceries,3560,PKR,2026-07-16
booked ride this week,Transportation,5475,PKR,2026-01-31
bought cooking oil online,Food & Groceries,7155,PKR,2026-02-14
car maintenance for family,Transportation,11628,PKR,2026-02-28
bought perfume online,Personal Care,13408,PKR,2026-04-01
paid internet bill online,Utilities,1886,PKR,2026-04-22
bought snacks,Food & Groceries,14224,PKR,2026-03-22
paid travel fare for family,Travel,107017,PKR,2026-07-01
bought home appliances this week,Home & Rent,31192,PKR,2026-04-14
restaurant dinner today,Food & Groceries,13228,PKR,2026-06-08
paid online bill this week,Bills & Payments,12051,PKR,2026-04-22
paid gas bill yesterday,Utilities,19796,PKR,2026-04-13
haircut yesterday,Personal Care,14462,PKR,2026-03-21
general expense today,Other,11013,PKR,2026-07-19
filled fuel for family,Transportation,10474,PKR,2026-01-30
bought perfume today,Personal Care,12917,PKR,2026-03-31
dental checkup online,Healthcare,9979,PKR,2026-03-02
paid gas bill this week,Utilities,6964,PKR,2026-02-14
booked flight online,Travel,20753,PKR,2026-02-15
bought home appliances yesterday,Home & Rent,148779,PKR,2026-07-14
paid travel fare online,Travel,148978,PKR,2026-06-14
paid maintenance charges this week,Home & Rent,83873,PKR,2026-02-08
paid credit card bill yesterday,Bills & Payments,58461,PKR,2026-06-11
bought notebooks for family,Education,7862,PKR,2026-04-01
haircut this week,Personal Care,7765,PKR,2026-04-26
grocery shopping this week,Food & Groceries,13726,PKR,2026-03-15
paid mobile bill,Utilities,19966,PKR,2026-05-10
went to amusement park for family,Entertainment,9281,PKR,2026-07-22
miscellaneous expense yesterday,Other,18832,PKR,2026-06-16
bought watch for family,Shopping,15885,PKR,2026-05-09
filled petrol in car yesterday,Transportation,1795,PKR,2026-07-27
dental checkup,Healthcare,33366,PKR,2026-06-15
filled petrol in car today,Transportation,11693,PKR,2026-04-23
paid service fee for family,Bills & Payments,80428,PKR,2026-02-10
visited hospital this week,Healthcare,25689,PKR,2026-04-15
dental checkup for family,Healthcare,3731,PKR,2026-07-22
bought cleaning supplies this week,Home & Rent,18278,PKR,2026-03-26
paid utility bill online,Utilities,13166,PKR,2026-03-14
bought stationery this week,Education,11182,PKR,2026-05-30
paid apartment rent this week,Home & Rent,82325,PKR,2026-06-17
other payment today,Other,19598,PKR,2026-07-01
paid water bill for family,Utilities,12843,PKR,2026-06-14
bought prescription medicine today,Healthcare,44216,PKR,2026-06-29
miscellaneous purchase,Other,13974,PKR,2026-05-11
bought medicine this week,Healthcare,20541,PKR,2026-02-16
bought watch yesterday,Shopping,6591,PKR,2026-02-27
paid bus fare,Transportation,4946,PKR,2026-08-05
paid utility bill for family,Utilities,17753,PKR,2026-01-10
bought furniture for family,Home & Rent,35353,PKR,2026-06-02
bought movie ticket today,Entertainment,3162,PKR,2026-08-01
miscellaneous purchase today,Other,14441,PKR,2026-01-12
paid streaming subscription online,Entertainment,11989,PKR,2026-03-02
paid service fee this week,Bills & Payments,99117,PKR,2026-07-11
paid loan installment for family,Bills & Payments,31848,PKR,2026-03-21
paid loan installment this week,Bills & Payments,89407,PKR,2026-05-27
paid monthly bill this week,Bills & Payments,50552,PKR,2026-05-09
visited salon today,Personal Care,13583,PKR,2026-02-21
booked flight this week,Travel,14678,PKR,2026-06-14
paid bank charges for family,Bills & Payments,13946,PKR,2026-07-02
haircut this week,Personal Care,1574,PKR,2026-07-15
booked ride yesterday,Transportation,14932,PKR,2026-05-12
car maintenance,Transportation,3737,PKR,2026-07-29
paid bank charges,Bills & Payments,54881,PKR,2026-01-14
bought concert ticket this week,Entertainment,4062,PKR,2026-04-09
paid water bill today,Utilities,1423,PKR,2026-03-23
paid mobile bill online,Utilities,11486,PKR,2026-07-22
paid bus fare,Transportation,4800,PKR,2026-08-01
paid online bill today,Bills & Payments,99962,PKR,2026-06-30
paid monthly bill for family,Bills & Payments,1188,PKR,2026-08-20
paid electricity bill this week,Utilities,7566,PKR,2026-08-02
car maintenance,Transportation,12816,PKR,2026-03-15
bought handbag,Shopping,1864,PKR,2026-03-03
played games for family,Entertainment,7689,PKR,2026-01-17
paid internet bill for family,Utilities,18065,PKR,2026-01-05
paid maintenance charges for family,Home & Rent,64422,PKR,2026-07-03
booked ride yesterday,Transportation,125,PKR,2026-06-07
paid doctor fee for family,Healthcare,27600,PKR,2026-02-17
bought cleaning supplies,Home & Rent,138228,PKR,2026-04-03
paid utility bill for family,Utilities,17124,PKR,2026-07-21
bought perfume,Personal Care,6597,PKR,2026-08-12
paid credit card bill online,Bills & Payments,51209,PKR,2026-04-06
paid university fee this week,Education,9355,PKR,2026-03-30
bought clothes for family,Shopping,24390,PKR,2026-07-13
paid doctor fee,Healthcare,23388,PKR,2026-05-20
bought prescription medicine online,Healthcare,11774,PKR,2026-08-01
bought home appliances online,Home & Rent,126444,PKR,2026-06-11
paid bus fare,Transportation,11831,PKR,2026-07-18
paid credit card bill this week,Bills & Payments,26922,PKR,2026-01-12
bought new shoes this week,Shopping,10460,PKR,2026-05-12
paid gaming subscription for family,Entertainment,7956,PKR,2026-03-06
bought eggs this week,Food & Groceries,5948,PKR,2026-08-09
restaurant dinner this week,Food & Groceries,2139,PKR,2026-07-24
bought vitamins yesterday,Healthcare,49013,PKR,2026-04-23
paid streaming subscription today,Entertainment,8329,PKR,2026-06-27
paid bank charges for family,Bills & Payments,35459,PKR,2026-07-25
paid mobile bill yesterday,Utilities,3086,PKR,2026-04-21
travel expenses today,Travel,143992,PKR,2026-03-17
bought medicine,Healthcare,21790,PKR,2026-06-19
bought notebooks yesterday,Education,79486,PKR,2026-07-03
bought movie ticket online,Entertainment,7472,PKR,2026-03-31
paid credit card bill online,Bills & Payments,46710,PKR,2026-06-07
paid streaming subscription online,Entertainment,13167,PKR,2026-01-15
paid mobile bill online,Utilities,13810,PKR,2026-04-04
bought personal care items online,Personal Care,2821,PKR,2026-01-08
changed car oil,Transportation,2168,PKR,2026-01-18
bought watch this week,Shopping,12845,PKR,2026-05-26
bought milk online,Food & Groceries,7471,PKR,2026-04-05
bought vitamins,Healthcare,37912,PKR,2026-02-05
bought skincare products yesterday,Personal Care,5350,PKR,2026-06-16
paid school fee,Education,3896,PKR,2026-07-08
changed car oil for family,Transportation,6440,PKR,2026-05-24
paid water bill this week,Utilities,15123,PKR,2026-02-24
bought train ticket online,Travel,129765,PKR,2026-02-21
paid gas bill,Utilities,15312,PKR,2026-02-14
other payment,Other,10572,PKR,2026-06-20
dental checkup,Healthcare,36344,PKR,2026-05-19
bought notebooks today,Education,93798,PKR,2026-07-01
paid miscellaneous charges this week,Other,16770,PKR,2026-02-27
paid gas bill today,Utilities,8257,PKR,2026-07-22
paid credit card bill this week,Bills & Payments,73116,PKR,2026-05-27
bought vitamins for family,Healthcare,8804,PKR,2026-06-06
paid electricity bill this week,Utilities,13546,PKR,2026-07-03
other payment for family,Other,13560,PKR,2026-07-16
paid gaming subscription for family,Entertainment,1408,PKR,2026-02-02
dental checkup,Healthcare,29789,PKR,2026-04-30
paid maintenance charges this week,Home & Rent,34642,PKR,2026-08-13
bought personal care items for family,Personal Care,3181,PKR,2026-07-16
car maintenance for family,Transportation,14324,PKR,2026-01-15
paid utility bill today,Utilities,10465,PKR,2026-02-12
paid rickshaw fare online,Transportation,3794,PKR,2026-03-30
bought skincare products,Personal Care,4305,PKR,2026-02-20
paid maintenance charges this week,Home & Rent,33812,PKR,2026-06-10
bought books for family,Education,84515,PKR,2026-02-13
booked bus ticket today,Travel,45879,PKR,2026-06-18
paid hotel bill for family,Travel,89504,PKR,2026-08-04
booked hotel,Travel,22292,PKR,2026-01-12
home repair for family,Home & Rent,70377,PKR,2026-06-16
online shopping yesterday,Shopping,20554,PKR,2026-06-13
bought cooking oil online,Food & Groceries,9038,PKR,2026-03-16
bought furniture yesterday,Home & Rent,65193,PKR,2026-07-26
bought home appliances this week,Home & Rent,119893,PKR,2026-01-19
miscellaneous expense today,Other,14504,PKR,2026-04-17
paid monthly bill today,Bills & Payments,45089,PKR,2026-06-05
paid rickshaw fare online,Transportation,5331,PKR,2026-07-07
bought vitamins today,Healthcare,24583,PKR,2026-05-12
haircut this week,Personal Care,4160,PKR,2026-04-30
paid water bill yesterday,Utilities,8623,PKR,2026-02-06
paid electricity bill this week,Utilities,13087,PKR,2026-08-10
paid travel fare today,Travel,42864,PKR,2026-07-28
paid medical bill online,Healthcare,20794,PKR,2026-02-18
